Address      Type         Bits   RW/RO   Min    Max   Default                  Name                             Alternative name               Right to modify    Main application   Description                                                                                                                                                                                                          
  dec                                                                                                                                                                                
  1013   holding reg.    uint16    RO     0    65535     0                  Cup1Error                              CUP1_ERROR                   AuxiliaryFSMs         internal       Error code for the cup mechanism (bitmap)                                                                                                                                                                            
  1014   holding reg.    uint16    RO     0    65535     0                  Cup2Error                              CUP2_ERROR                   AuxiliaryFSMs         internal       - // -                                                                                                                                                                                                               
  1015   holding reg.    uint16    RO     0    65535     0                  Cup3Error                              CUP3_ERROR                   AuxiliaryFSMs         internal       - // -                                                                                                                                                                                                               
  1016   holding reg.    uint16    RO     0    65535     0                Cup1LastError                          CUP1_LAST_ERROR                AuxiliaryFSMs         internal       Code of the last error for the cup mechanism                                                                                                                                                                         
  1017   holding reg.    uint16    RO     0    65535     0                Cup2LastError                          CUP2_LAST_ERROR                AuxiliaryFSMs         internal       - // -                                                                                                                                                                                                               
  1018   holding reg.    uint16    RO     0    65535     0                Cup3LastError                          CUP3_LAST_ERROR                AuxiliaryFSMs         internal       - // -                                                                                                                                                                                                               
  1019   holding reg.    uint16    RW     0    65535     0               Cup1ErrorStorage                      CUP1_ERROR_STORAGE              Auxil. Modbus.      user interface    A bitwise OR of all errors for the cup mechanism; can be reset via Modbus                                                                                                                                            
  1020   holding reg.    uint16    RW     0    65535     0               Cup2ErrorStorage                      CUP2_ERROR_STORAGE              Auxil. Modbus.      user interface    - // -                                                                                                                                                                                                               
  1021   holding reg.    uint16    RW     0    65535     0               Cup3ErrorStorage                      CUP3_ERROR_STORAGE              Auxil. Modbus.      user interface    - // -                                                                                                                                                                                                               
                                                                                                                                                                                     
  1022   holding reg.    uint16    RW     1      3       3                InstalledCups                          INSTALLED_CUPS                 ModbusServer       configuration     The number of Faraday cups to be used                                                                                                                                                                                
  1023   holding reg.    uint16    RW     1      4       4                ElectrodesCup1                         ELECTRODES_CUP1                ModbusServer       configuration     The number of electrodes installed in the Faraday cup                                                                                                                                                                
  1024   holding reg.    uint16    RW     1      4       4                ElectrodesCup2                         ELECTRODES_CUP2                ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1025   holding reg.    uint16    RW     1      4       4                ElectrodesCup3                         ELECTRODES_CUP3                ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1026   holding reg.    uint16    RW     0      2       0                   Cup1Type                               CUP1_TYPE                   ModbusServer       configuration     Type of the Faraday cup; 0 = pneumatic mechanism with 1 limit switch; 1 = pneumatic mechanism with 1 limit switch and lock functionality; 2 = motor mechnism with 2 limit switches                                   
  1027   holding reg.    uint16    RW     0      2       1                   Cup2Type                               CUP2_TYPE                   ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1028   holding reg.    uint16    RW     0      2       2                   Cup3Type                               CUP3_TYPE                   ModbusServer       configuration     - // -                                                                                                                                                                                                               
                                                                                                                                                                                     
  1029   holding reg.    int16     RW   -1000  1000      0           Cup1Channel1Gain1Offset               CUP1_CHANNEL1_GAIN1_OFFSET           ModbusServer       configuration     The int16 value represents the offset for cups 1–3, channels 1–4; Gain1 applies to ADC0 (high-gain signal); unit: 10nA                                                                                               
  1030   holding reg.    int16     RW   -1000  1000      0           Cup1Channel2Gain1Offset               CUP1_CHANNEL2_GAIN1_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1031   holding reg.    int16     RW   -1000  1000      0           Cup1Channel3Gain1Offset               CUP1_CHANNEL3_GAIN1_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1032   holding reg.    int16     RW   -1000  1000      0           Cup1Channel4Gain1Offset               CUP1_CHANNEL4_GAIN1_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1033   holding reg.    int16     RW   -1000  1000      0           Cup2Channel1Gain1Offset               CUP2_CHANNEL1_GAIN1_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1034   holding reg.    int16     RW   -1000  1000      0           Cup2Channel2Gain1Offset               CUP2_CHANNEL2_GAIN1_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1035   holding reg.    int16     RW   -1000  1000      0           Cup2Channel3Gain1Offset               CUP2_CHANNEL3_GAIN1_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1036   holding reg.    int16     RW   -1000  1000      0           Cup2Channel4Gain1Offset               CUP2_CHANNEL4_GAIN1_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1037   holding reg.    int16     RW   -1000  1000      0           Cup3Channel1Gain1Offset               CUP3_CHANNEL1_GAIN1_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1038   holding reg.    int16     RW   -1000  1000      0           Cup3Channel2Gain1Offset               CUP3_CHANNEL2_GAIN1_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1039   holding reg.    int16     RW   -1000  1000      0           Cup3Channel3Gain1Offset               CUP3_CHANNEL3_GAIN1_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1040   holding reg.    int16     RW   -1000  1000      0           Cup3Channel4Gain1Offset               CUP3_CHANNEL4_GAIN1_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1041   holding reg.    int16     RW   -1000  1000      0           Cup1Channel1Gain2Offset               CUP1_CHANNEL1_GAIN2_OFFSET           ModbusServer       configuration     The int16 value represents the offset for cups 1–3, channels 1–4 Gain2 applies to ADC1 (low-gain signal); unit: 10nA                                                                                                 
  1042   holding reg.    int16     RW   -1000  1000      0           Cup1Channel2Gain2Offset               CUP1_CHANNEL2_GAIN2_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1043   holding reg.    int16     RW   -1000  1000      0           Cup1Channel3Gain2Offset               CUP1_CHANNEL3_GAIN2_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1044   holding reg.    int16     RW   -1000  1000      0           Cup1Channel4Gain2Offset               CUP1_CHANNEL4_GAIN2_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1045   holding reg.    int16     RW   -1000  1000      0           Cup2Channel1Gain2Offset               CUP2_CHANNEL1_GAIN2_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1046   holding reg.    int16     RW   -1000  1000      0           Cup2Channel2Gain2Offset               CUP2_CHANNEL2_GAIN2_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1047   holding reg.    int16     RW   -1000  1000      0           Cup2Channel3Gain2Offset               CUP2_CHANNEL3_GAIN2_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1048   holding reg.    int16     RW   -1000  1000      0           Cup2Channel4Gain2Offset               CUP2_CHANNEL4_GAIN2_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1049   holding reg.    int16     RW   -1000  1000      0           Cup3Channel1Gain2Offset               CUP3_CHANNEL1_GAIN2_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1050   holding reg.    int16     RW   -1000  1000      0           Cup3Channel2Gain2Offset               CUP3_CHANNEL2_GAIN2_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1051   holding reg.    int16     RW   -1000  1000      0           Cup3Channel3Gain2Offset               CUP3_CHANNEL3_GAIN2_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1052   holding reg.    int16     RW   -1000  1000      0           Cup3Channel4Gain2Offset               CUP3_CHANNEL4_GAIN2_OFFSET           ModbusServer       configuration     - // -                                                                                                                                                                                                               
                                                                                                                                                                                     
  1053   holding reg.    uint16    RW   12000  16000   14000         Cup1Channel1Gain1Factor               CUP1_CHANNEL1_GAIN1_FACTOR           ModbusServer       configuration     The uint16 value represents the ratio for cups 1–3, channels 1–4; Gain1 applies to ADC0; unit: pA/jedn.ADC                                                                                                           
  1054   holding reg.    uint16    RW   12000  16000   14000         Cup1Channel2Gain1Factor               CUP1_CHANNEL2_GAIN1_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1055   holding reg.    uint16    RW   12000  16000   14000         Cup1Channel3Gain1Factor               CUP1_CHANNEL3_GAIN1_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1056   holding reg.    uint16    RW   12000  16000   14000         Cup1Channel4Gain1Factor               CUP1_CHANNEL4_GAIN1_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1057   holding reg.    uint16    RW   12000  16000   14000         Cup2Channel1Gain1Factor               CUP2_CHANNEL1_GAIN1_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1058   holding reg.    uint16    RW   12000  16000   14000         Cup2Channel2Gain1Factor               CUP2_CHANNEL2_GAIN1_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1059   holding reg.    uint16    RW   12000  16000   14000         Cup2Channel3Gain1Factor               CUP2_CHANNEL3_GAIN1_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1060   holding reg.    uint16    RW   12000  16000   14000         Cup2Channel4Gain1Factor               CUP2_CHANNEL4_GAIN1_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1061   holding reg.    uint16    RW   12000  16000   14000         Cup3Channel1Gain1Factor               CUP3_CHANNEL1_GAIN1_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1062   holding reg.    uint16    RW   12000  16000   14000         Cup3Channel2Gain1Factor               CUP3_CHANNEL2_GAIN1_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1063   holding reg.    uint16    RW   12000  16000   14000         Cup3Channel3Gain1Factor               CUP3_CHANNEL3_GAIN1_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1064   holding reg.    uint16    RW   12000  16000   14000         Cup3Channel4Gain1Factor               CUP3_CHANNEL4_GAIN1_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1065   holding reg.    uint16    RW   12000  16000   14000         Cup1Channel1Gain2Factor               CUP1_CHANNEL1_GAIN2_FACTOR           ModbusServer       configuration     The uint16 value represents the ratio for cups 1–3, channels 1–4; Gain2 applies to ADC1; unit: 10pA/jedn.ADC                                                                                                         
